TABLE_NAME	COLUMN_NAME
ACCOMMODATE_CAUSE_TBL	ACCOMMODATE_CAUSE
ACCOUNT_SORT	P
ACC_BQ_RATE	EDORTYPE
ACC_BQ_RATE	INTERVAL
ACC_BQ_RATE	RISKCODE
ACTINSTTABLE	ACTIVITYINSTANCEID
ACTIVESTATUS	CERTIFYCODE
ACTIVESTATUS	CARDNO
ACTUARY	ID
ACTUARY_CLAIM_T	ID
ACTUARY_MAIN_LONG	ID
ACTUARY_MAIN_T	ID
ACTUCONTCLAIM	WATNUM
ACTUCONTDATA_LOG	PEOPLENO
ACTUCONTDATA_LOG	RISKCODE
ACTUCONTDATA_LOG	GRPCONTNO
ACTUCONTDATA_LOG	CONTNO
ACTUCONTSTATE	WATNUM
ACTUGRPCONTCLAIM	WATNUM
ACTUGRPCONTDATA	PEOPLENO
ACTUGRPCONTDATA	RISKCODE
ACTUGRPCONTDATA	GRPCONTNO
ACTUGRPCONTDATA	CONTNO
ACTUGRPCONTSTATE	CONTNO
ACTUGRPCONTSTATE	WATNUM
ADDRESS	MANAGECOM
ADDVALUE111298	SUPPRISKCORE
ADDVALUE111298	PAYENDYEAR
ADDVALUE111298	APPAGE
ADDVALUE111298	SEX
ADIMTOMANAGECOM	MANAGECOM
ADIMTOMANAGECOMB	EDORNO
AD_TRADE_DATA_ID	AD_TRADE_SERI
AES_BUS_AES_MAPPING	BUS_VALUE
AES_BUS_AES_MAPPING	BUS_COLUMN_NAME
AFACTOR305200	AFACTORCODEMAX
AFACTOR305200	AFACTORCODEMIN
AFACTOR305200	AFACTORTYPE
AFACTOR305210	AFACTORCODEMAX
AFACTOR305210	AFACTORCODEMIN
AFACTOR305210	AFACTORTYPE
AFACTOR307020	AFACTORCODEMAX
AFACTOR307020	AFACTORCODEMIN
AFACTOR307020	AFACTORTYPE
AFACTOR307030	AFACTORCODEMAX
AFACTOR307030	AFACTORCODEMIN
AFACTOR307030	AFACTORTYPE
AFRATE0008	ADDFEEPOINT
AFRATE0008	APPAGE
AFRATE0008	PAYENDYEARFLAG
AFRATE0008	PAYENDYEAR
AFRATE0008	PAYINTV
AFRATE0008	SEX
AFRATE0009	ADDFEEPOINT
AFRATE0009	APPAGE
AFRATE0009	PAYENDYEAR
AFRATE0009	INSUYEARFLAG
AFRATE0009	INSUYEAR
AFRATE0009	PAYINTV
AFRATE0009	SEX
AFRATE0016	ADDFEEPOINT
